工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
福谷中層配水場入水弁制御盤他更新工事,2024/10/2,事後審査型制限付一般競争入札,3,30049000,32405000,29811700,（株）木内計測,電気専門,0.92
名谷車庫照明ＬＥＤ化工事,2025/2/5,事後審査型制限付一般競争入札,5,46600000,50590000,46529300,日本電設工業（株）,電気専門,0.92
北神線電話交換設備統廃合工事,2025/3/5,事後審査型制限付一般競争入札,1,119000000,119500000,109977300,協和テクノロジィズ（株）,電気専門,0.92
中央図書館照明改修工事,2024/5/17,事後審査型制限付一般競争入札,30,59400000,61960000,57094200,柴崎電機工業（株）,電気一般,0.921
上ヶ原浄水場緩速ろ過池低圧化工事,2024/9/6,事後審査型制限付一般競争入札,2,25000000,26026000,23981200,（株）大同電機製作所,電気専門,0.921
西神・山手線　西神中央駅リニューアル電気設備他改修工事,2024/12/4,事後審査型制限付一般競争入札,8,70600000,75210000,69265800,（株）甲友電気設備,電気一般,0.921
諏訪山公園レストハウスエレベータ更新工事,2025/2/7,事後審査型制限付一般競争入札,1,22910000,24850000,22877500,日本オーチス・エレベータ（株）,昇降機,0.921
神戸空港第３駐車場電気設備工事,2024/9/6,事後審査型制限付一般競争入札,16,57230000,61920000,57180000,（株）甲友電気設備,電気一般,0.923
玉津処理場消化槽エレベーター改修工事,2024/12/4,事後審査型制限付一般競争入札,2,28750000,31120000,28730600,日本オーチス・エレベータ（株）,昇降機,0.923
大沢電気室受変電設備更新工事,2024/5/15,事後審査型制限付一般競争入札,6,120390000,130200000,120287600,（株）正興電機製作所,電気専門,0.924
中央卸売市場本場青果仲卸電気室受変電設備更新工事,2024/7/3,事後審査型制限付一般競争入札,34,41297700,44680000,41283600,（株）佐藤電設工業,電気一般,0.924
六甲アイランド重量物バース受変電設備他改修工事,2024/7/5,事後審査型制限付一般競争入札,18,93331000,100900000,93279700,黒住電気工事（株）,電気専門,0.924
神戸空港ＧＳＥ置場受変電設備設置他工事,2024/9/4,事後審査型制限付一般競争入札,19,65151000,70480000,65141100,（株）サンデン,電気専門,0.924
東白川特２高層配水場入水弁制御盤他新設工事,2024/11/1,事後審査型制限付一般競争入札,2,96785000,104429000,96617900,大栄電機（株）,電気専門,0.925
奥畑ポンプ場受変電設備他更新工事,2025/3/5,事後審査型制限付一般競争入札,3,58150000,62526000,57847500,（株）大同電機製作所,電気専門,0.925
栄住宅エレベーター設置他電気設備工事,2024/4/26,事後審査型制限付一般競争入札,7,148000000,158000000,146250400,ミナト電気工事（株）,電気一般,0.926
東部市場仲卸売場棟店舗電気設備改修工事（その２）,2024/11/8,事後審査型制限付一般競争入札,14,70200000,74840000,69327400,（株）シモデン,電気一般,0.926
西神・山手線　自動張力調整装置更新工事（その１－２）,2024/5/17,事後審査型制限付一般競争入札,3,84289000,90920000,84274600,八千代電設工業（株）,電気専門,0.927
東クリーンセンター照明設備改修工事,2024/8/2,事後審査型制限付一般競争入札,5,118800000,118800000,110348900,太昭電設（株）,電気一般,0.929
西神・山手線　板宿駅　大規模改修電気設備工事,2024/7/10,事後審査型制限付一般競争入札,4,435000000,454200000,423418700,杉本電気工事（株）,電気一般,0.932
（仮称）新北区文化センター建設昇降機設備工事,2025/3/7,事後審査型制限付一般競争入札,1,126100000,126100000,117575500,フジテック（株）,昇降機,0.932
垂水処理場　本場３・４号送風機電気設備工事,2025/1/29,事後審査型制限付一般競争入札,1,88000000,88197000,83412400,新電機工業（株）,電気専門,0.946
東灘処理場　調整池揚水流量計更新工事,2024/9/6,事後審査型制限付一般競争入札,5,26272000,27545000,26270000,メタウォーター（株）,電気専門,0.954
東灘処理場　分場３・４号送風機電気設備工事,2024/12/4,事後審査型制限付一般競争入札,1,244700000,244763000,234222600,三菱電機（株）,電気通信,0.957
玉津処理場　受電室直流電源装置更新工事,2025/2/5,事後審査型制限付一般競争入札,19,46580000,48663000,46553300,メタウォーター（株）,電気専門,0.957
三宮駐車場給気塔整備電気設備工事,2023/4/19,事後審査型制限付一般競争入札,29,27713000,29820000,27589000,淡神電設（株）,電気一般,0.925
板宿ずい道配水池入水流量制御盤他更新工事,2023/5/10,事後審査型制限付一般競争入札,4,34855200,37600000,34599300,新電機工業（株）,電気専門,0.92
令和５年度布施畑トンネル非常電話設備更新工事,2023/5/12,事後審査型制限付一般競争入札,4,2362000,2590000,2346100,（株）東栄,電気一般,0.906
こうべ小学校校舎増築他昇降機設備工事,2023/5/19,事後審査型制限付一般競争入札,2,18600000,19960000,18557600,フジテック（株）,昇降機,0.93
垂水処理場管理本館空調換気電気設備改修工事,2023/6/7,事後審査型制限付一般競争入札,35,25340000,27470000,25290400,近畿総合設備（株）,電気一般,0.921
マンホールポンプ施設電気設備工事,2023/6/7,事後審査型制限付一般競争入札,9,89880000,94837000,89626900,新電機工業（株）,電気専門,0.945
東部市場花き卸売場棟電気設備他改修工事,2023/7/7,事後審査型制限付一般競争入札,23,43158000,46420000,43028100,太昭電設（株）,電気専門,0.927
玉津処理場屋外照明改修工事,2023/8/2,事後審査型制限付一般競争入札,25,6692000,7330000,6688700,（株）木山電気,電気一般,0.913
西区玉津支所利活用部分電気設備改修工事,2023/8/2,事後審査型制限付一般競争入札,17,46270000,49070000,45468400,（株）甲友電気設備,電気一般,0.927
谷上車庫無停電電源装置設置工事,2023/8/2,事後審査型制限付一般競争入札,3,23000000,23820000,21876700,京三エレコス（株）,電気専門,0.918
霞ヶ丘学童保育コーナー整備電気設備工事,2023/8/4,事後審査型制限付一般競争入札,21,10575000,11550000,10563200,（株）日幸電商,電気一般,0.915
垂水処理場　東系水処理１系ＤＯ計他更新工事,2023/8/4,事後審査型制限付一般競争入札,6,19080000,20268000,19060700,鹿島環境エンジニアリング（株）,電気専門,0.94
千苅浄水場予備系引込ケーブル更新工事,2023/8/4,事後審査型制限付一般競争入札,4,14554000,15681000,14215500,新電機工業（株）,電気専門,0.907
西神住宅団地パークアベニュー電気設備工事（その３）,2023/9/1,事後審査型制限付一般競争入札,33,15452000,16830000,15448800,（株）甲友電気設備,電気一般,0.918
神戸三木線４車線化対応照明設備工事,2023/9/1,事後審査型制限付一般競争入札,16,5880000,6450000,5870800,（株）エス・イーワークス,電気一般,0.91
東灘処理場　　本場終沈スカムスキマ現場操作盤取替工事,2023/9/6,事後審査型制限付一般競争入札,12,10220000,10956000,10172400,（有）三谷テクノ,電気専門,0.928
玉津処理場　太陽光発電設備改修工事,2023/9/8,事後審査型制限付一般競争入札,14,18615000,19492000,18597500,黒住電気工事（株）,電気一般,0.954
神戸空港東西進入灯航路標識用変換器更新工事,2023/10/4,事後審査型制限付一般競争入札,10,91200000,96800000,89908300,（株）シモデン,電気一般,0.929
六甲アイランド１号上屋受変電設備更新工事,2023/10/4,事後審査型制限付一般競争入札,30,13924000,15160000,13921600,淡神電設（株）,電気一般,0.918
神戸ファッションマート監視カメラ更新工事,2023/10/13,事後審査型制限付一般競争入札,25,50835000,52830000,48946600,（株）シンテック,電気一般,0.926
三宮バスターミナル待合室設備更新工事,2023/10/13,事後審査型制限付一般競争入札,4,3017000,3290000,2995900,（株）神成興業,電気一般,0.911
湊川ポンプ場　１号雨水ポンプ電気設備工事,2023/10/13,事後審査型制限付一般競争入札,1,61800000,61841000,59192500,新電機工業（株）,電気専門,0.957
ハーバーハイウェイ照明柱更新工事その１,2023/10/13,事後審査型制限付一般競争入札,20,23919000,25960000,23911500,（株）前角電気,電気一般,0.921
防犯カメラ設置工事（その３）,2023/11/1,事後審査型制限付一般競争入札,9,192800000,193100000,179915700,コガセ工業（株）,電気一般,0.932
西神・山手線　自動張力調整装置更新工事（その１）,2023/11/1,事後審査型制限付一般競争入札,3,8480000,9220000,8439000,西日本電気システム（株）,電気専門,0.915
魚崎浜第２ポンプ場高圧ケーブル他改修工事,2023/11/8,事後審査型制限付一般競争入札,6,6600000,6650000,6067600,松原電気工業（株）,電気一般,0.912
フレール長田室内住宅他１棟照明設備改修工事,2023/12/1,事後審査型制限付一般競争入札,15,4638000,5080000,4637500,（株）エス・イーワークス,電気一般,0.913
新港・中突堤地区照明設備工事,2023/12/1,事後審査型制限付一般競争入札,9,97500000,104500000,97172000,サン電設工業（株）,電気一般,0.93
からと中央住宅１号棟照明設備改修工事,2023/12/6,事後審査型制限付一般競争入札,19,5809000,6360000,5808900,（株）エス・イーワークス,電気一般,0.913
ポートアイランド２号上屋他陸電改修工事,2024/1/26,事後審査型制限付一般競争入札,3,5555000,5910000,5469600,（株）金森電気工業所,電気一般,0.925
灘区総合庁舎昇降機設備更新工事,2024/1/31,事後審査型制限付一般競争入札,2,171000000,177700000,166554700,日本オーチス・エレベータ（株）,昇降機,0.937
長尾山排水管理施設人工湿地電気設備工事,2024/1/31,事後審査型制限付一般競争入札,5,8600000,8610000,7962600,ケイテック（株）,電気専門,0.925
神出自然教育園空調改修電気設備工事,2024/2/2,事後審査型制限付一般競争入札,24,45328000,48950000,45309700,太昭電設（株）,電気専門,0.926
本庁舎１号館共用部照明設備更新工事,2024/2/2,事後審査型制限付一般競争入札,23,81238000,87350000,80962500,杉本電気工事（株）,電気一般,0.927
清風公民館照明設備更新工事,2024/2/7,事後審査型制限付一般競争入札,20,4037000,4430000,4033400,（株）はなくま電工,電気一般,0.91
布施畑環境センター排水管理施設取水塔電気設備改修工事,2024/2/7,事後審査型制限付一般競争入札,6,13790000,14773000,13683400,ケイテック（株）,電気一般,0.926
材木橋ライトアップ工事,2024/2/7,事後審査型制限付一般競争入札,14,34618000,37619000,34503800,（株）宮野電気商会,電気一般,0.917
魚崎浜第２ポンプ場直流電源装置改修工事,2024/2/7,事後審査型制限付一般競争入札,14,6750000,7340000,6683400,（株）三宅電気工事,電気専門,0.911
（仮称）神戸市歴史公文書館新築他昇降機設備工事,2024/3/1,事後審査型制限付一般競争入札,2,18606000,20010000,18602800,フジテック（株）,昇降機,0.93
港島トンネル無停電電源装置更新工事,2024/3/1,事後審査型制限付一般競争入札,25,76780000,82810000,76763900,太昭電設（株）,電気専門,0.927
淡河排水管理施設ろ過設備新設電気工事,2024/3/6,事後審査型制限付一般競争入札,10,32662300,35094000,32590500,甲斐電気工事（株）,電気専門,0.929
西神中央プレンティ広場電気設備工事,2022/4/15,事後審査型制限付一般競争入札,30,23870000,24770000,22361600,（株）甲友電気設備,電気一般,0.903
西神・山手線　三宮駅東改札内エレベータ―改造工事,2022/4/15,事後審査型制限付一般競争入札,1,37000000,37110000,34008700,三菱電機ビルソリューションズ（株）,昇降機,0.916
東灘処理場１・２号汚水ポンプＶＶＶＦ他更新工事,2022/4/20,事後審査型制限付一般競争入札,2,85900000,86760000,82567600,三菱電機（株）,電気専門,0.952
中部庁舎電気設備改修工事,2022/4/20,事後審査型制限付一般競争入札,11,110000000,119500000,109443800,柴崎電機工業（株）,電気一般,0.916
落合特１中区配水池直流電源設備更新工事,2022/5/11,事後審査型制限付一般競争入札,31,15680000,17448000,15665100,サン電設工業（株）,電気専門,0.898
海岸線ずい道照明ＬＥＤ化工事その３,2022/5/13,事後審査型制限付一般競争入札,2,27268000,27890000,25229900,東邦電気工業（株）,電気専門,0.905
ポートアイランド（第２期）歩道整備に伴う道路照明設備工事,2022/5/18,事後審査型制限付一般競争入札,30,9612000,10650000,9587300,（株）金森電気工業所,電気一般,0.9
玉津処理場特高受変電他設備工事,2022/5/20,制限付一般競争入札,1,707000000,707572000,673425000,三菱電機（株）,電気専門,0.952
灘特１高層配水池有線ＴＭ化工事,2022/6/1,事後審査型制限付一般競争入札,2,9700000,9913000,8846900,新電機工業（株）,電気通信,0.892
神戸臨床研究情報センター電力量計更新工事,2022/7/1,事後審査型制限付一般競争入札,11,3988000,4430000,3953100,（株）神成興業,電気一般,0.892
垂水区文化センターホール音響設備改修工事,2022/7/6,事後審査型制限付一般競争入札,27,14960000,16580000,14947000,（株）弘栄通信システム,電気専門,0.902
番町住宅２０号棟照明設備改修工事,2022/7/13,事後審査型制限付一般競争入札,11,6395000,7150000,6393300,（株）エス・イーワークス,電気一般,0.894
ものづくり工場引込設備更新工事,2022/8/3,事後審査型制限付一般競争入札,21,20700000,20720000,19336900,（有）北村電気工業,電気一般,0.933
マンホールポンプ施設電気設備工事,2022/8/3,事後審査型制限付一般競争入札,9,52330000,56563000,52157900,（株）大同電機製作所,電気専門,0.922
北須磨学童保育コーナー整備電気設備工事,2022/8/5,事後審査型制限付一般競争入札,17,8360000,9340000,8356300,（株）前角電気,電気一般,0.895
西部高齢者介護支援センター受変電設備改修工事,2022/8/10,事後審査型制限付一般競争入札,30,28689000,31270000,28603300,（株）オールライト,電気専門,0.915
西区玉津支所電気設備改修工事,2022/9/2,事後審査型制限付一般競争入札,13,93100000,100300000,92159800,ミナト電気工事（株）,電気一般,0.919
鈴蘭台処理場　中央監視設備工事,2022/9/7,制限付一般競争入札,6,553800000,620580000,592517100,（株）日立製作所,電気専門,0.955
西鈴蘭台ポンプ場太陽光設備改修工事,2022/9/7,事後審査型制限付一般競争入札,23,11883960,13200000,11865800,シンエスタ（株）,電気一般,0.899
名谷車庫き電開閉所蓄電池更新工事,2022/9/7,事後審査型制限付一般競争入札,22,8146300,9080000,8143800,新電機工業（株）,電気専門,0.897
神戸ゆかりの美術館展示室調光制御盤改修工事,2022/9/9,事後審査型制限付一般競争入札,14,11478000,12700000,11459000,淡神電設（株）,電気一般,0.902
西神・山手線　新長田駅エレベーター更新工事,2022/10/5,事後審査型制限付一般競争入札,1,28440000,28440000,26028600,フジテック（株）,昇降機,0.915
神戸市総合教育センター直流電源装置更新工事,2022/11/2,事後審査型制限付一般競争入札,33,10680000,11620000,10659100,サン電設工業（株）,電気専門,0.917
垂水駅東地区歩行者動線整備工事,2022/11/2,事後審査型制限付一般競争入札,8,24740000,27523000,24610500,（株）金森電気工業所,電気一般,0.894
伊川谷駅照明設備改修工事,2022/11/2,事後審査型制限付一般競争入札,17,62248000,63460000,58836100,森電気工業（株）,電気一般,0.927
西部市場照明設備他更新工事,2022/12/2,事後審査型制限付一般競争入札,28,12999200,13860000,12863300,甲斐電気工事（株）,電気一般,0.928
鈴蘭台処理場　オゾン電気設備工事,2022/12/2,事後審査型制限付一般競争入札,3,70106000,71537000,67675000,大栄電機（株）,電気専門,0.946
灘の浜歩道橋ライトアップ工事,2022/12/2,事後審査型制限付一般競争入札,10,24507000,26887000,24036800,（株）宮野電気商会,電気一般,0.894
西神中央駅ビル他電力量計更新工事,2022/12/2,事後審査型制限付一般競争入札,9,8190000,8930000,8171900,御影電気産業（株）,電気一般,0.915
（仮称）垂水駅前立体駐輪場（西Ｄ）ロータリー整備昇降機工事,2023/1/20,事後審査型制限付一般競争入札,2,21400000,22970000,21365600,フジテック（株）,昇降機,0.93
西部処理場　２号汚泥脱水機電気設備工事,2023/1/25,事後審査型制限付一般競争入札,2,152000000,152297000,144795500,日新電機（株）,電気専門,0.951
令和４年度　吹上第２トンネル非常警報設備更新工事,2023/1/25,事後審査型制限付一般競争入札,21,25392000,27520000,25264300,日光電気工事（株）,電気一般,0.918
六甲山新高区ポンプ場受配電設備他更新工事,2023/2/1,事後審査型制限付一般競争入札,3,83360000,89536000,82906000,ＢＥＭＡＣ　Ｋｉｄｅｎ（株）,電気専門,0.926
住吉川立坑他水質自動監視装置新設工事,2023/2/8,事後審査型制限付一般競争入札,1,63270000,67309000,62191600,（株）大同電機製作所,電気専門,0.924
神出高層配水池入水制御設備他更新工事,2023/2/8,事後審査型制限付一般競争入札,4,32340000,35080000,32285100,（株）木内計測,電気専門,0.92
（仮称）新五位ノ池住宅２号棟電気設備工事,2023/3/1,事後審査型制限付一般競争入札,20,66946000,69440000,64245500,森電気工業（株）,電気一般,0.925
三宮駐車場受変電設備更新工事（その２）,2023/3/1,事後審査型制限付一般競争入札,24,49530000,49910000,46688400,黒住電気工事（株）,電気一般,0.935
神戸港陸閘等遠隔操作化電気設備工事（東、中神戸地区）,2023/3/1,事後審査型制限付一般競争入札,8,119900000,122500000,113901300,（株）三宅電気工事,電気一般,0.93
北神各所無停電電源設備更新工事,2023/3/1,事後審査型制限付一般競争入札,25,60033900,64974000,60033100,（株）兵庫蓄電池,電気専門,0.924
