工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
小部トンネル補修工事,2022/4/15,事後審査型制限付一般競争入札,24,55677700,62955000,55677700,八雲建設（株）,土木その他,0.884
神の谷トンネル補修工事,2022/8/5,事後審査型制限付一般競争入札,32,77072700,87226000,77072700,岡野建設工業（株）,土木その他,0.884
令和４年度（後期）東部管内舗装補修単価契約工事,2022/9/9,単価契約,21,2916,3300,2916,（株）サンロード,舗装,0.884
池田小学校南門前側溝他整備工事,2025/1/29,事後審査型制限付一般競争入札,8,8080800,8500000,7521600,神澤建設（株）,土木一般,0.885
房王寺歩道橋美装化工事,2023/8/4,事後審査型制限付一般競争入札,21,18302300,20670000,18302300,（株）大成工材,鋼構造物,0.885
玉津処理場　１系水処理脱臭装置ダクト改修工事,2023/11/8,事後審査型制限付一般競争入札,2,28590000,31416000,27788700,日新工業（株）,管専門,0.885
神戸明石線（西須磨）上法面補修工事,2022/4/20,事後審査型制限付一般競争入札,13,46693100,50107000,44344000,山崎建設（株）,法面,0.885
中央（雲井通）配水管移設工事その１,2022/7/1,事後審査型制限付一般競争入札,9,72749300,81844000,72451500,山本設備（株）,土木一般,0.885
高速鉄道　漏水・湧水防止まくらぎ補修工事単価契約（令和６年度）,2024/4/24,単価契約,1,57560,58118,51507,（有）水工社,土木その他,0.886
西神・山手線　絶縁ファイバー設置工事（令和６年度）,2024/12/4,事後審査型制限付一般競争入札,3,4897000,5240000,4644700,原野建設（株）,土木その他,0.886
ハーバーランド北ブリッジ補修工事,2023/7/12,事後審査型制限付一般競争入札,19,19336100,21626000,19161400,西日本ロード・メンテナンス（株）,鋼構造物,0.886
柳谷大橋耐震補強工事（その２）,2022/7/8,事後審査型制限付一般競争入札,20,107000100,120793000,107000100,日本ロード・メンテナンス（株）,ＰＣ,0.886
令和４年度（後期）北管内舗装補修単価契約工事,2022/9/9,単価契約,63,2863,3230,2863,（株）タムラ,舗装,0.886
海岸線　まくらぎ交換工事（令和６年度）,2025/1/24,事後審査型制限付一般競争入札,1,4480000,4487000,3979000,大鉄工業（株）,土木その他,0.887
令和７年度　北及び西管内橋梁等補修単価契約工事,2025/3/5,単価契約,22,175535,197810,175535,ブリッジメンテナンス（株）,土木その他,0.887
西部処理場　１系エアレーションタンク点検通路蓋設置工事,2023/5/17,事後審査型制限付一般競争入札,2,49685000,54006000,47898600,日新工業（株）,機械器具その他,0.887
国道４２８号道路防災対策工事（その１）,2022/7/8,事後審査型制限付一般競争入札,16,104350000,113591000,100771200,福地建設（株）,法面,0.887
灘（城内通）配水管新設取替工事,2022/8/3,事後審査型制限付一般競争入札,5,73386500,82596000,73232900,（株）Ｕ－ＴＥＣＨ,土木一般,0.887
令和５年度　東部、中部、西部及び垂水管内橋梁等補修単価契約工事,2023/3/1,単価契約,18,147105,165780,147105,日本ロード・メンテナンス（株）,土木その他,0.887
令和５年度　北及び西管内橋梁等補修単価契約工事,2023/3/1,単価契約,18,147105,165780,147105,（株）トラスト,土木その他,0.887
東白川台地区段差解消工事（その４）,2024/4/26,事後審査型制限付一般競争入札,15,11141600,12544000,11141600,（株）共新建設,土木一般,0.888
ポートアイランド地区岸壁改良工事,2022/7/1,事後審査型制限付一般競争入札,7,62100000,69124000,61405700,（株）共栄土木,港湾土木,0.888
舞子坂歩道橋補修工事,2024/1/24,事後審査型制限付一般競争入札,28,37683600,42366000,37683600,（株）ウェイズ,鋼構造物,0.889
北（星和台４・５丁目）配水管取替工事その３,2022/4/15,事後審査型制限付一般競争入札,10,72381000,81360000,72293600,（株）大林建設,土木一般,0.889
下山手通５丁目地区他汚水管改築更新工事,2022/4/20,事後審査型制限付一般競争入札,12,76666000,86104000,76569300,（株）兵庫技研,土木その他,0.889
西部療育センター改修工事,2022/6/8,事後審査型制限付一般競争入札,9,11251900,12530000,11136400,中村住建,建築一般,0.889
神戸空港駐車場改修工事,2022/9/7,事後審査型制限付一般競争入札,17,83540000,89293000,79425000,（株）友興組,土木一般,0.889
神戸明石線舗装補修工事,2023/10/4,事後審査型制限付一般競争入札,43,10146200,11400000,10146200,東成建設（株）,舗装,0.89
永井谷川改修工事（その２）,2022/9/9,事後審査型制限付一般競争入札,5,93970000,95170000,84695900,石坂建設（株）,土木一般,0.89
電線共同溝道路横断管整備工事,2023/1/20,事後審査型制限付一般競争入札,4,15999000,16671000,14839700,玉津第一建設,土木一般,0.89
令和７年度垂水管内交通安全施設単価契約工事,2025/3/5,単価契約,42,23009,25816,23009,（株）三成,交通安全施設,0.891
長田区大日丘町法面対策工事（その２）,2024/1/31,事後審査型制限付一般競争入札,10,7831200,8777000,7817100,（株）植信,法面,0.891
高羽小学校職員室改修他工事,2022/4/20,事後審査型制限付一般競争入札,8,11758000,12970000,11557100,中居建設工業（株）,建築一般,0.891
寺山橋他１橋耐震補強・補修工事,2022/5/20,事後審査型制限付一般競争入札,15,104398900,117146000,104362700,緑建工業（株）,ＰＣ,0.891
湊川町２丁目地区他汚水管改築更新工事,2022/10/5,事後審査型制限付一般競争入札,5,184620000,206318000,183895800,窪田工業（株）,土木その他,0.891
垂水妙法寺線道路付属施設補修工事,2023/1/20,事後審査型制限付一般競争入札,26,12536400,14035000,12498700,（有）マエダ体器製作所,交通安全施設,0.891
烏原貯水場亀の甲広場トイレ改修工事,2024/5/17,事後審査型制限付一般競争入札,8,5053300,5560000,4961300,（株）古本組,建築一般,0.892
塩屋丸山線（塩屋大谷）歩道改良工事,2024/7/5,事後審査型制限付一般競争入札,4,6370000,6478000,5781600,（株）東神,土木一般,0.892
生田町公園施設改修工事,2024/12/4,事後審査型制限付一般競争入札,14,7959600,8917000,7950500,（有）マエダ体器製作所,造園一般,0.892
三ノ宮駅北口駅前広場舗装補修工事,2023/11/8,事後審査型制限付一般競争入札,23,12612000,14136000,12612000,（有）藤亀土木興業,舗装,0.892
五色山北小公園園路整備工事,2023/12/6,事後審査型制限付一般競争入札,6,2598000,2889000,2577300,理工建設（株）,土木一般,0.892
灘特１高層配水池有線ＴＭ化工事,2022/6/1,事後審査型制限付一般競争入札,2,9700000,9913000,8846900,新電機工業（株）,電気通信,0.892
神戸臨床研究情報センター電力量計更新工事,2022/7/1,事後審査型制限付一般競争入札,11,3988000,4430000,3953100,（株）神成興業,電気一般,0.892
舞子駅前バスロータリー再整備に伴う上屋（北側）設置工事,2022/8/3,事後審査型制限付一般競争入札,2,21960000,24370000,21731500,リフォームトウラ（株）,建築一般,0.892
六甲アイランド地区道路改修工事,2022/8/5,事後審査型制限付一般競争入札,16,134346500,149604000,133407300,（株）吉田組,舗装,0.892
令和５年度新都市整備事業管内道路等管理工事（単価契約）,2023/3/1,単価契約,8,6981,7830,6981,（株）東神,土木一般,0.892
西垂水１９５号線道路法面復旧工事,2024/4/19,事後審査型制限付一般競争入札,4,5317200,5941000,5305700,（株）共新建設,土木一般,0.893
ひよどり台東歩道橋補修工事,2024/6/12,事後審査型制限付一般競争入札,27,46358600,51892000,46356700,日本ジッコウ（株）,鋼構造物,0.893
高尾美ノ谷線道路防災対策工事,2024/8/7,事後審査型制限付一般競争入札,6,6500000,6905000,6169100,北神吉田建設（株）,法面,0.893
須磨区禅昌寺町法面復旧工事,2024/9/11,事後審査型制限付一般競争入札,16,13356700,14942000,13345500,ＳＡＳＡＫＵＲＡ（株）,法面,0.893
ハーバーランド北ブリッジ補修工事（その２）,2024/11/1,事後審査型制限付一般競争入札,14,47705500,53395000,47705400,ブリッジメンテナンス（株）,塗装,0.893
新港第４突堤門扉取替工事,2024/11/1,事後審査型制限付一般競争入札,9,23514100,26320000,23514100,（有）光洋重工,鋼構造物,0.893
本山北町公園防球ネット工事,2024/11/8,事後審査型制限付一般競争入札,42,9193100,10293000,9193100,（株）清水造園土木,運動施設,0.893
下三条町北地区防災街区整備事業にともなう汚水管移設工事,2024/12/4,事後審査型制限付一般競争入札,5,11703300,12721000,11361400,（有）松岡組,土木一般,0.893
令和７年度東部管内交通安全施設単価契約工事,2025/3/5,単価契約,43,22617,25338,22617,（株）三谷組,交通安全施設,0.893
西神６号線段差解消工事（その２）,2023/4/26,事後審査型制限付一般競争入札,12,16849000,18877000,16848800,住本道路（株）,土木一般,0.893
渦森橋北側橋補修工事,2023/10/4,事後審査型制限付一般競争入札,27,52102500,58375000,52102400,（有）光洋重工,鋼構造物,0.893
森林作業道開設工事,2023/11/1,事後審査型制限付一般競争入札,5,4592800,5143000,4592800,（株）ツリーワークス,造園一般,0.893
マリンピア神戸　水産体験学習館周辺園路改修工事,2023/11/8,事後審査型制限付一般競争入札,17,18003100,20137000,17986700,（株）東神,土木一般,0.893
若宮５号線（須磨海浜公園駅前）歩道設置工事,2023/12/1,事後審査型制限付一般競争入札,14,18092600,20259000,18092600,（有）イズミテック,舗装,0.893
高速鉄道　まくらぎ交換工事（令和５年度）,2023/12/1,事後審査型制限付一般競争入札,2,13330000,13336000,11907700,大鉄工業（株）,土木その他,0.893
北（山田町東下）配水管取替工事その２,2022/5/11,事後審査型制限付一般競争入札,9,89685000,100407000,89681400,（株）永川組建設,土木一般,0.893
神戸三田線（有馬口）道路防災対策工事,2022/5/13,事後審査型制限付一般競争入札,21,105440000,117970000,105403100,北浦建設（株）,法面,0.893
高羽地域福祉センター外壁他改修工事,2022/6/1,事後審査型制限付一般競争入札,14,7778000,8680000,7749700,三和建設（株）,建築一般,0.893
中神戸地区（東川崎）道路嵩上げ他工事,2022/7/6,事後審査型制限付一般競争入札,4,123000000,132890000,118689500,（株）ＫＳＫ,土木一般,0.893
北（ひよどり台１・２丁目）配水管取替工事（その２）,2022/8/3,事後審査型制限付一般競争入札,14,188551000,211030000,188549900,兵庫奥栄建設（株）,土木一般,0.893
清水垣内跨道橋補修補強工事,2022/11/2,事後審査型制限付一般競争入札,13,52168800,58396000,52155200,（株）大野,ＰＣ,0.893
中央幹線ライトアップ工事,2024/8/7,事後審査型制限付一般競争入札,8,26325000,28721000,25688000,（株）オールライト,電気一般,0.894
舞子駅ロータリー他２箇所　防護柵補修工事,2024/9/4,事後審査型制限付一般競争入札,37,30076500,33632000,30076500,（有）二葉建設,交通安全施設,0.894
東垂水３０号線歩道設置工事,2023/4/21,事後審査型制限付一般競争入札 合併入札,7,21634000,22304000,19950800,（株）利川興業,土木一般,0.894
乙木谷２号雨水幹線撤去工事,2023/4/21,事後審査型制限付一般競争入札 合併入札,7,21634000,22304000,19950800,（株）利川興業,土木一般,0.894
篠原トンネル補修工事,2023/8/4,事後審査型制限付一般競争入札,34,29097400,32544000,29097000,（株）上田トランシットコンストラクション,土木その他,0.894
繁田集会所外壁改修他工事,2022/6/1,事後審査型制限付一般競争入札,30,11085000,12310000,11001700,ヤナセ建設（株）,建築一般,0.894
奥平野浄水場土砂災害対策工事,2022/6/1,事後審査型制限付一般競争入札,12,100000000,104629000,93545600,（株）大野,法面,0.894
山田地域福祉センター屋根・外壁他改修工事,2022/7/1,事後審査型制限付一般競争入札,12,7180000,8000000,7149400,（株）清水工務店,建築一般,0.894
番町住宅２０号棟照明設備改修工事,2022/7/13,事後審査型制限付一般競争入札,11,6395000,7150000,6393300,（株）エス・イーワークス,電気一般,0.894
御影中町１丁目地区他汚水管改築更新工事,2022/8/3,事後審査型制限付一般競争入札,9,221188000,254202000,227313500,港建設（株）,土木その他,0.894
須磨（横尾１丁目他）配水管新設工事,2022/9/7,事後審査型制限付一般競争入札,8,155155000,173545000,155082200,（株）小林組,土木一般,0.894
阪神沿北側線他街路築造工事（その３）,2022/10/7,事後審査型制限付一般競争入札,5,229464000,254400000,227350300,兵庫奥栄建設（株）,土木一般,0.894
垂水駅東地区歩行者動線整備工事,2022/11/2,事後審査型制限付一般競争入札,8,24740000,27523000,24610500,（株）金森電気工業所,電気一般,0.894
灘の浜歩道橋ライトアップ工事,2022/12/2,事後審査型制限付一般競争入札,10,24507000,26887000,24036800,（株）宮野電気商会,電気一般,0.894
住吉大橋補修工事,2022/12/2,事後審査型制限付一般競争入札,24,46815200,52387000,46815200,（株）ＮＥＯ　ＤＡＩＳＥＩ,ＰＣ,0.894
富士見が丘東公園施設改修工事,2023/1/20,事後審査型制限付一般競争入札,11,5521900,6173000,5516500,（株）緑幸園,造園一般,0.894
旧惣谷川雨水幹線改築工事,2023/3/1,事後審査型制限付一般競争入札,3,24422500,27228000,24342700,（株）藤本建設,土木一般,0.894
メリケンパーク駐車場改修工事,2024/9/6,事後審査型制限付一般競争入札,24,21359300,23876000,21359200,（株）共新建設,土木一般,0.895
正慶町公園施設改修工事,2024/12/4,事後審査型制限付一般競争入札,27,13212300,14767000,13212300,（株）長畑造園,造園一般,0.895
令和７年度中部管内交通安全施設単価契約工事,2025/3/5,単価契約,42,22042,24636,22042,東成建設（株）,交通安全施設,0.895
令和７年度西部管内交通安全施設単価契約工事,2025/3/5,単価契約,45,21913,24478,21913,（株）臼杵建設,交通安全施設,0.895
令和７年度垂水管内側溝整備単価契約工事,2025/3/7,単価契約,54,23169,25875,23169,日本道路安全（株）,土木一般,0.895
多目的管理道開設工事,2023/6/7,事後審査型制限付一般競争入札,4,12270000,13674000,12244400,（株）メイテク,造園一般,0.895
辰巳雨水幹線改築工事,2023/8/4,事後審査型制限付一般競争入札,4,19817600,22134000,19816000,平沼建設,土木一般,0.895
垂水健康公園園路舗装改修工事,2023/11/8,事後審査型制限付一般競争入札,32,13754400,15372000,13754400,きたむら緑司園,造園一般,0.895
宝塚唐櫃線（杖捨橋東）歩道整備工事,2024/2/2,事後審査型制限付一般競争入札,8,10591300,11826000,10589800,（株）Ｕ－ＴＥＣＨ,土木一般,0.895
北須磨学童保育コーナー整備電気設備工事,2022/8/5,事後審査型制限付一般競争入札,17,8360000,9340000,8356300,（株）前角電気,電気一般,0.895
上与市橋架設工事に伴う汚水管移設工事,2023/3/3,事後審査型制限付一般競争入札,1,15922000,15922000,14248100,（株）朱門建設工業,土木一般,0.895
旧西小部浄水場施設解体工事,2024/6/7,事後審査型制限付一般競争入札,17,5248000,5851000,5243100,（株）山根商店,解体,0.896
生田低区汚水幹線他改築工事,2024/10/2,事後審査型制限付一般競争入札,8,18980000,19771000,17712900,大幸道路管理（株）,土木その他,0.896
令和６年度　臨港道路舗装改修工事（その１）,2024/10/4,事後審査型制限付一般競争入札,57,21502900,24002000,21502900,（株）シビルロード,舗装,0.896
西垂水第８号線擁壁補修工事,2024/12/4,事後審査型制限付一般競争入札,11,12026000,13420000,12026000,（株）吉田工業,土木一般,0.896
渦森南公園施設改修工事,2023/10/4,事後審査型制限付一般競争入札,18,8625800,9625000,8624300,ウッドカンパニー（株）,造園一般,0.896
天神橋耐震補強・補修工事,2023/11/8,事後審査型制限付一般競争入札,17,75383900,84126000,75372000,（株）サンロード,ＰＣ,0.896
中央卸売市場本場内舗装補修工事,2023/12/6,事後審査型制限付一般競争入札,20,17647800,19689000,17641100,（有）安川興業,舗装,0.896
港湾幹線道路等維持補修及び臨港地区防災対策工事（単価契約）,2024/3/1,単価契約,6,2173,2425,2173,（株）ＮＥＯ　ＤＡＩＳＥＩ,土木一般,0.896
名谷公園便所改築工事,2022/7/13,事後審査型制限付一般競争入札,6,22300000,24650000,22087000,リフォームトウラ（株）,建築一般,0.896
東落合地域福祉センター外壁改修他工事,2022/8/5,事後審査型制限付一般競争入札,29,13729000,15290000,13695600,棚田建材（株）,建築一般,0.896
横尾２号線歩道整備工事（その１）,2024/4/24,事後審査型制限付一般競争入札,15,12353200,13779000,12353200,（有）京阪神設備サービス,土木一般,0.897
住吉幹線他１線段差解消工事,2024/4/26,事後審査型制限付一般競争入札,10,29010600,32345000,29010500,（有）光栄建設,土木一般,0.897
住吉川公園ほか施設改修工事,2024/11/8,事後審査型制限付一般競争入札,20,14926800,16647000,14926600,（株）中西総合ガーデン,造園一般,0.897
令和６年度東部管内防護柵更新工事,2025/2/7,事後審査型制限付一般競争入札,43,36140400,40272000,36140400,（株）隆勢建設,交通安全施設,0.897
令和７年度河川等単価契約工事（その２）,2025/3/5,単価契約,7,1961,2185,1961,（株）吉田工業,土木一般,0.897
令和７年度北管内交通安全施設単価契約工事,2025/3/5,単価契約,47,21466,23931,21466,（株）ＮＥＯ　ＤＡＩＳＥＩ,交通安全施設,0.897
岡本商店街舗装改修工事（その２）,2023/6/7,事後審査型制限付一般競争入札 合併入札,5,58510000,58517000,52501500,（株）ランドグリーン,土木一般,0.897
東灘（岡本１丁目）配水管取替工事その１,2023/6/7,事後審査型制限付一般競争入札 合併入札,5,58510000,58517000,52501500,（株）ランドグリーン,土木一般,0.897
菊水鵯越線歩道拡幅工事,2023/7/5,事後審査型制限付一般競争入札,13,13129000,14631000,13128900,三好建設（株）,土木一般,0.897
中央（新港町）鋼管更新工事その２,2023/9/6,事後審査型制限付一般競争入札,4,11570000,12871000,11544200,新日本工業（株）,鋼構造物,0.897
高庄橋架替工事,2023/10/6,事後審査型制限付一般競争入札,3,8334700,9159000,8212700,（株）関西工専,土木一般,0.897
令和５年度臨港道路舗装改修工事（その１）,2023/10/13,事後審査型制限付一般競争入札,55,25491900,28410000,25491900,（有）ダイエイ住建,舗装,0.897
鵯越大仏補修工事,2024/1/24,事後審査型制限付一般競争入札,31,12864400,14348000,12864400,八雲建設（株）,土木その他,0.897
小部児童館外壁他改修工事,2022/5/13,事後審査型制限付一般競争入札,29,10729810,11830000,10617400,中村瀝青工業（株）,建築一般,0.897
垂水（福田２・３丁目）配水管取替工事,2022/5/13,事後審査型制限付一般競争入札,12,167692000,186847000,167691000,沼田建設工業（株）,土木一般,0.897
八多小中学校校舎改修工事,2022/5/25,事後審査型制限付一般競争入札,11,36218100,40300000,36136200,（株）ヒョウ工務店,建築一般,0.897
名谷車庫き電開閉所蓄電池更新工事,2022/9/7,事後審査型制限付一般競争入札,22,8146300,9080000,8143800,新電機工業（株）,電気専門,0.897
四番町４丁目段差解消工事,2022/12/2,事後審査型制限付一般競争入札,2,13928300,15527000,13926100,神澤建設（株）,土木一般,0.897
筑紫が丘地区段差解消工事（その２）,2024/4/24,事後審査型制限付一般競争入札,13,39067400,43507000,39067400,（株）共新建設,土木一般,0.898
灘特１高層配水池電送線復旧工事,2024/7/10,事後審査型制限付一般競争入札,6,5867000,6454000,5798500,（株）シンテック,電気専門,0.898
西体育館玄関前舗装改修工事,2024/8/7,事後審査型制限付一般競争入札,30,12867900,14333000,12867900,（有）友起建設,土木一般,0.898
奥畑公園他施設改修工事,2024/10/2,事後審査型制限付一般競争入札,22,17031300,18958000,17030800,（株）ハマダ商店,造園一般,0.898
甲栄台５丁目地区他汚水管改築工事,2024/11/8,事後審査型制限付一般競争入札,16,26470600,29469000,26470600,（株）兵庫技研,土木その他,0.898
東垂水１０３号線防護柵補修工事,2024/12/6,事後審査型制限付一般競争入札,39,48122200,53572000,48121900,（株）イノウエ,交通安全施設,0.898
篠原雨水幹線改築工事,2025/1/22,事後審査型制限付一般競争入札,4,31550000,34865000,31311500,（株）新神戸建設,土木一般,0.898
新港第４突堤受電ケーブル他更新工事,2025/1/22,事後審査型制限付一般競争入札,9,3626000,4000000,3592500,大東電設（株）,電気一般,0.898
令和７年度西管内交通安全施設単価契約工事,2025/3/5,単価契約,46,21304,23733,21304,（株）大黒鉄工所,交通安全施設,0.898
玉津処理場　２号洗浄水ポンプ吐出弁取替工事,2023/5/10,事後審査型制限付一般競争入札,6,11600000,12830000,11518800,アイテック（株）,機械器具その他,0.898
神戸明石線（王塚台）交差点改良工事,2023/6/9,事後審査型制限付一般競争入札,2,91100000,91160000,81825500,（株）友興組,土木一般,0.898
獅子掛１号線道路防災対策工事,2023/6/9,事後審査型制限付一般競争入札,11,15522700,17277000,15522700,八雲建設（株）,法面,0.898
令和５年度北建設事務所管内大型案内標識改修工事,2024/1/31,事後審査型制限付一般競争入札,24,22652900,25230000,22652400,富国合成塗料（株）,交通安全施設,0.898
山麓線及び鯉川線舗装補修工事,2024/2/7,事後審査型制限付一般競争入札,35,42033800,46708000,41937100,（有）曽我部建設工業,舗装,0.898
こうべ小学校体育倉庫棟増築他工事,2022/4/13,事後審査型制限付一般競争入札,11,31641120,35040000,31464900,中村住建,建築一般,0.898
本庁舎１号館雨水管引替工事,2022/4/20,事後審査型制限付一般競争入札,6,34530000,38370000,34473400,（株）キタイ装建,建築一般,0.898
落合特１中区配水池直流電源設備更新工事,2022/5/11,事後審査型制限付一般競争入札,31,15680000,17448000,15665100,サン電設工業（株）,電気専門,0.898
長田区大日丘町法面対策工事,2022/5/18,事後審査型制限付一般競争入札,16,231888000,253556000,227681300,（株）ＨＯＵＲＹＵ,法面,0.898
苅藻島クリーンセンター防災盤更新工事,2022/8/5,事後審査型制限付一般競争入札,13,8790000,9790000,8788600,（株）サンデン,設備その他,0.898
篠原児童館・地域福祉センター外壁改修他工事,2022/9/9,事後審査型制限付一般競争入札,22,12950000,14390000,12923600,（株）ナガシマ建築企画,建築一般,0.898
王子スポーツセンター給湯設備改修工事,2022/10/14,事後審査型制限付一般競争入札,4,4613800,5120000,4596100,（有）金本設備工業,管一般,0.898
天神川乗越峠線歩道拡幅工事,2022/12/2,事後審査型制限付一般競争入札,2,21798100,24252000,21788200,神澤建設（株）,土木一般,0.898
狩場台中区入水流量計室整備工事,2024/4/26,事後審査型制限付一般競争入札,6,13955000,15518000,13954700,（株）共新建設,土木一般,0.899
葺合南１３５号線（旭通４）道路改良工事,2024/5/10,事後審査型制限付一般競争入札,14,15300000,17023000,15300000,（株）吉田工業,土木一般,0.899
舞子ヶ浜高架橋補修工事,2024/7/10,事後審査型制限付一般競争入札,41,97014900,107893000,97010700,（株）大林建設,鋼構造物,0.899
天神川護岸等改修工事,2024/7/12,事後審査型制限付一般競争入札,9,23112900,25718000,23112900,（有）ナガイ住建,土木一般,0.899
下谷上高区配水場他防草対策工事,2024/8/23,事後審査型制限付一般競争入札,18,10221200,11368000,10214300,高山建工,土木その他,0.899
白坂公園内防火水槽新設工事,2024/9/4,事後審査型制限付一般競争入札,13,30826800,34261000,30811100,矢倉建設（有）,土木一般,0.899
大和公園テニスコート改修工事,2024/10/4,事後審査型制限付一般競争入札,45,19223300,21379000,19223300,（株）グリーンテクノ,運動施設,0.899
令和７年度東部管内側溝整備単価契約工事,2025/3/7,単価契約,80,22152,24631,22152,（有）鈴木建設,土木一般,0.899
山手幹線歩道改良工事（その２）,2023/4/19,事後審査型制限付一般競争入札,12,22322700,24824000,22322500,（有）高木工務店,土木一般,0.899
西垂水第５号線歩道改良工事（その２）,2023/5/10,事後審査型制限付一般競争入札,11,15670300,17440000,15670300,（株）フォワード,土木一般,0.899
