工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
西神・山手線　板宿駅　大規模改修電気設備工事,2024/7/10,事後審査型制限付一般競争入札,4,435000000,454200000,423418700,杉本電気工事（株）,電気一般,0.932
防犯カメラ設置工事（その３）,2023/11/1,事後審査型制限付一般競争入札,9,192800000,193100000,179915700,コガセ工業（株）,電気一般,0.932
垂水中学校大規模改修工事,2023/7/5,事後審査型制限付一般競争入札,13,145740000,154600000,144066800,（株）隆建,建築一般,0.932
広陵小学校大規模改修工事,2023/6/7,事後審査型制限付一般競争入札,11,176000000,187100000,174378700,（株）岡　工務店,建築一般,0.932
神戸インキュベーションオフィスとりこわし工事,2023/4/26,事後審査型制限付一般競争入札,46,214260000,229800000,214230500,（株）益田工務店,解体,0.932
長尾山排水管理施設配管他整備工事,2024/10/2,事後審査型制限付一般競争入札,2,30420000,32594000,30337200,（株）アクリ,機械器具その他,0.931
西部処理場　生汚泥濃縮機機械設備工事,2024/8/2,事後審査型制限付一般競争入札,1,264000000,264085000,245862200,（株）神鋼環境ソリューション,機械器具その他,0.931
（仮称）神戸市歴史公文書館新築他機械設備工事,2024/3/6,事後審査型制限付一般競争入札,8,178700000,184500000,171767200,（株）本庄商会,管一般,0.931
垂水小学校校舎棟建設機械設備工事その２,2023/12/1,事後審査型制限付一般競争入札,7,202900000,208100000,193843500,（株）トータル,管一般,0.931
総合運動公園駅外壁他改修工事,2023/4/26,事後審査型制限付一般競争入札,12,81500000,86730000,80709600,（有）紙川防水興業,建築一般,0.931
妙賀山クリーンセンター計量設備更新工事,2024/11/1,事後審査型制限付一般競争入札,2,15000000,15980000,14853700,（株）アセック,機械器具その他,0.93
中央小学校大規模改修工事,2024/6/14,事後審査型制限付一般競争入札,10,231230000,246300000,229063900,溝口建設（株）,建築一般,0.93
（仮称）神戸市歴史公文書館新築他昇降機設備工事,2024/3/1,事後審査型制限付一般競争入札,2,18606000,20010000,18602800,フジテック（株）,昇降機,0.93
新港・中突堤地区照明設備工事,2023/12/1,事後審査型制限付一般競争入札,9,97500000,104500000,97172000,サン電設工業（株）,電気一般,0.93
福池小学校大規模改修工事,2023/7/7,事後審査型制限付一般競争入札,12,143200000,151900000,141198300,（有）紙川防水興業,建築一般,0.93
西区玉津支所利活用部分改修工事,2023/7/5,事後審査型制限付一般競争入札,6,190000000,193600000,180048500,関西建設工業（株）,建築一般,0.93
こうべ市民福祉交流センター西・北立面外壁改修他工事,2023/6/2,事後審査型制限付一般競争入札,22,51217500,54750000,50917900,（株）堂脇工業所,建築一般,0.93
こうべ小学校校舎増築他昇降機設備工事,2023/5/19,事後審査型制限付一般競争入札,2,18600000,19960000,18557600,フジテック（株）,昇降機,0.93
（仮称）新下山手住宅４号棟給排水設備工事,2024/11/1,事後審査型制限付一般競争入札,2,210000000,216400000,201007400,邦設備工業（株）,管一般,0.929
北青木第四住宅その他施設外壁改修他工事,2024/8/23,事後審査型制限付一般競争入札,23,131000000,137600000,127766600,（有）紙川防水興業,建築一般,0.929
東クリーンセンター照明設備改修工事,2024/8/2,事後審査型制限付一般競争入札,5,118800000,118800000,110348900,太昭電設（株）,電気一般,0.929
淡河排水管理施設ろ過設備新設電気工事,2024/3/6,事後審査型制限付一般競争入札,10,32662300,35094000,32590500,甲斐電気工事（株）,電気専門,0.929
神戸空港東西進入灯航路標識用変換器更新工事,2023/10/4,事後審査型制限付一般競争入札,10,91200000,96800000,89908300,（株）シモデン,電気一般,0.929
長田小学校大規模改修工事,2023/6/9,事後審査型制限付一般競争入札,17,148950000,154800000,143816700,（株）池内工務店,建築一般,0.929
葺合中学校大規模改修工事,2023/5/17,事後審査型制限付一般競争入札,23,120800000,129300000,120062000,（株）カイト,建築一般,0.929
垂水処理場　４号汚水ポンプ機械設備工事,2024/12/6,事後審査型制限付一般競争入札,3,199200000,214526000,199134100,（株）鶴見製作所,機械器具その他,0.928
六甲アイランドＸ・Ｙ及びＺバース防潮角落し設置工事,2024/9/11,事後審査型制限付一般競争入札,9,138000000,144286000,133829100,（株）ランドグリーン,土木一般,0.928
谷上車庫大規模改修工事,2024/9/6,事後審査型制限付一般競争入札,22,121324000,130700000,121317100,溝口建設（株）,建築一般,0.928
御崎東住宅外壁改修他工事,2024/7/3,事後審査型制限付一般競争入札,14,125900000,127700000,118450700,（株）須貝工務店,建築一般,0.928
魚崎西住宅１－３号棟給水管改修工事,2024/2/7,事後審査型制限付一般競争入札,5,85000000,86180000,79984200,（株）石井管工,管一般,0.928
旧神戸摩耶ロッジ解体工事,2023/12/1,事後審査型制限付一般競争入札,36,154137000,165900000,154033700,（株）大一,解体,0.928
星和台ポンプ場西鈴蘭台送水ポンプ設備更新工事,2023/12/1,事後審査型制限付一般競争入札,5,212900000,229394000,212834000,（株）荏原製作所,機械器具その他,0.928
青木南住宅給水管改修工事,2023/11/8,事後審査型制限付一般競争入札,4,78800000,78880000,73181000,（株）圓奈,管一般,0.928
東灘処理場　　本場終沈スカムスキマ現場操作盤取替工事,2023/9/6,事後審査型制限付一般競争入札,12,10220000,10956000,10172400,（有）三谷テクノ,電気専門,0.928
長田消防署待機室個室化改修工事,2023/7/12,事後審査型制限付一般競争入札,9,112680000,120000000,111319900,柳原建設（株）,建築一般,0.928
ひよどり台住宅６６・６７号棟エレベーター設置他工事,2024/12/4,事後審査型制限付一般競争入札,3,318500000,318900000,295763000,（株）トーホー・コンストラクション,建築一般,0.927
西神・山手線　自動張力調整装置更新工事（その１－２）,2024/5/17,事後審査型制限付一般競争入札,3,84289000,90920000,84274600,八千代電設工業（株）,電気専門,0.927
三宮駐車場エレベーター棟他増築工事,2024/3/1,事後審査型制限付一般競争入札,5,157850000,158100000,146547300,安西工業（株）,建築一般,0.927
港島トンネル無停電電源装置更新工事,2024/3/1,事後審査型制限付一般競争入札,25,76780000,82810000,76763900,太昭電設（株）,電気専門,0.927
本庁舎１号館共用部照明設備更新工事,2024/2/2,事後審査型制限付一般競争入札,23,81238000,87350000,80962500,杉本電気工事（株）,電気一般,0.927
垂水処理場　本場１－１最初沈殿池汚泥かき寄せ機更新工事,2024/1/31,事後審査型制限付一般競争入札,1,85126000,91726000,85031600,神鋼環境メンテナンス（株）,機械器具その他,0.927
有馬温泉観光交流センター他１棟防水改修他工事,2023/12/1,事後審査型制限付一般競争入札,20,23978000,25841000,23962100,（株）アトラス,防水,0.927
フレール長田室内住宅他１棟外壁改修他工事,2023/9/8,事後審査型制限付一般競争入札,10,52894000,55020000,51029100,（株）日栄テック,建築一般,0.927
西区玉津支所利活用部分電気設備改修工事,2023/8/2,事後審査型制限付一般競争入札,17,46270000,49070000,45468400,（株）甲友電気設備,電気一般,0.927
舞子ポンプ場外壁改修他工事,2023/7/7,事後審査型制限付一般競争入札,47,29747500,32090000,29743200,（有）三興建設工業,建築一般,0.927
東部市場花き卸売場棟電気設備他改修工事,2023/7/7,事後審査型制限付一般競争入札,23,43158000,46420000,43028100,太昭電設（株）,電気専門,0.927
布施畑環境センター破砕選別施設外壁改修工事,2023/4/26,事後審査型制限付一般競争入札,45,32280000,34790000,32236500,（株）甲陽商会,建築一般,0.927
奥畑－妙法寺連絡管整備工事（その２）,2025/2/5,制限付一般競争入札,3,2297000000,2315794000,2145272000,ＪＦＥエンジニアリング（株）,鋼構造物,0.926
東部市場仲卸売場棟店舗電気設備改修工事（その２）,2024/11/8,事後審査型制限付一般競争入札,14,70200000,74840000,69327400,（株）シモデン,電気一般,0.926
神戸複合産業団地南地区造成工事（その２）,2024/7/5,一般競争入札,8,6851000000,7167275000,6638832500,大林・不動・寄神特定建設工事共同企業体,土木一般,0.926
栄住宅エレベーター設置他電気設備工事,2024/4/26,事後審査型制限付一般競争入札,7,148000000,158000000,146250400,ミナト電気工事（株）,電気一般,0.926
布施畑環境センター排水管理施設取水塔電気設備改修工事,2024/2/7,事後審査型制限付一般競争入札,6,13790000,14773000,13683400,ケイテック（株）,電気一般,0.926
神出自然教育園空調改修電気設備工事,2024/2/2,事後審査型制限付一般競争入札,24,45328000,48950000,45309700,太昭電設（株）,電気専門,0.926
神戸ファッションマート監視カメラ更新工事,2023/10/13,事後審査型制限付一般競争入札,25,50835000,52830000,48946600,（株）シンテック,電気一般,0.926
緊急防災対策工事（北区有野町有野）その１,2023/10/6,事後審査型制限付一般競争入札,23,145053700,156596000,145038900,（株）永川組建設,土木一般,0.926
夢野住宅１－４号棟給水管改修工事,2023/7/7,事後審査型制限付一般競争入札,4,64670000,69820000,64646000,（株）スズキ商会,管一般,0.926
甲東ポンプ場５号導水ポンプ設備更新工事,2023/5/10,事後審査型制限付一般競争入札,4,128950000,139208000,128944300,（株）荏原製作所,機械器具その他,0.926
三宮駐車場給気塔整備機械設備工事,2023/4/26,事後審査型制限付一般競争入札,7,47570000,47570000,44064900,（株）新和商会,管一般,0.926
奥畑ポンプ場受変電設備他更新工事,2025/3/5,事後審査型制限付一般競争入札,3,58150000,62526000,57847500,（株）大同電機製作所,電気専門,0.925
東白川特２高層配水場入水弁制御盤他新設工事,2024/11/1,事後審査型制限付一般競争入札,2,96785000,104429000,96617900,大栄電機（株）,電気専門,0.925
ポートアイランド処理場管理棟空調設備他改修工事,2024/9/6,事後審査型制限付一般競争入札,6,54600000,55420000,51238800,（株）圓奈,管一般,0.925
栄住宅エレベーター設置他機械設備工事,2024/4/24,事後審査型制限付一般競争入札,1,147490000,151500000,140102700,（株）Ｒ・Ｐｌａｎｎｉｎｇ,管一般,0.925
垂水処理場　本場発電機室給気ファン機械設備工事,2024/3/6,事後審査型制限付一般競争入札,4,14296000,14296000,13229700,（有）児玉管工,機械器具その他,0.925
長尾山排水管理施設人工湿地電気設備工事,2024/1/31,事後審査型制限付一般競争入札,5,8600000,8610000,7962600,ケイテック（株）,電気専門,0.925
六甲アイランド東側臨港道路嵩上げ工事,2024/1/31,制限付一般競争入札,3,1288000000,1387194000,1283190500,島田・兵庫奥栄特定建設工事共同企業体,土木一般,0.925
ポートアイランド２号上屋他陸電改修工事,2024/1/26,事後審査型制限付一般競争入札,3,5555000,5910000,5469600,（株）金森電気工業所,電気一般,0.925
東灘処理場分場換気機械設備改修工事,2024/1/24,事後審査型制限付一般競争入札,11,38458000,41570000,38441800,（株）イトーヨーギョー,管一般,0.925
西神南（東）自転車駐車場屋上防水改修他工事,2023/6/7,事後審査型制限付一般競争入札,18,70600000,73360000,67845600,新装工業（株）,建築一般,0.925
中央図書館屋上防水他改修工事,2023/6/2,事後審査型制限付一般競争入札,38,33012300,35650000,32979500,パワーレックス（株）,防水,0.925
三宮駐車場給気塔整備電気設備工事,2023/4/19,事後審査型制限付一般競争入札,29,27713000,29820000,27589000,淡神電設（株）,電気一般,0.925
岩屋北住宅１・２号棟外壁改修他工事,2025/2/5,事後審査型制限付一般競争入札,21,81767000,86490000,79901000,（株）神盟,建築一般,0.924
重池第二住宅外壁改修他工事,2025/1/29,事後審査型制限付一般競争入札,15,71736000,77300000,71448300,（株）日栄テック,建築一般,0.924
一番町住宅１号棟外壁改修他工事,2025/1/24,事後審査型制限付一般競争入札,8,76540000,82750000,76488200,（株）リキョー,建築一般,0.924
神戸空港ＧＳＥ置場受変電設備設置他工事,2024/9/4,事後審査型制限付一般競争入札,19,65151000,70480000,65141100,（株）サンデン,電気専門,0.924
唐櫃住宅２５－２８号棟他とりこわし及び敷地整備工事,2024/8/2,事後審査型制限付一般競争入札,44,240580000,260200000,240546100,矢倉建設（有）,解体,0.924
六甲アイランド重量物バース受変電設備他改修工事,2024/7/5,事後審査型制限付一般競争入札,18,93331000,100900000,93279700,黒住電気工事（株）,電気専門,0.924
中央卸売市場本場青果仲卸電気室受変電設備更新工事,2024/7/3,事後審査型制限付一般競争入札,34,41297700,44680000,41283600,（株）佐藤電設工業,電気一般,0.924
神戸第２地方合同庁舎別館とりこわし工事,2024/5/17,事後審査型制限付一般競争入札,40,163086000,176500000,163061600,大創建設工業（株）,解体,0.924
大沢電気室受変電設備更新工事,2024/5/15,事後審査型制限付一般競争入札,6,120390000,130200000,120287600,（株）正興電機製作所,電気専門,0.924
神出自然教育園空調設備改修工事,2024/1/31,事後審査型制限付一般競争入札,14,46900000,49240000,45476700,（株）トータル,管一般,0.924
神戸港陸閘等遠隔操作化機械設備工事（中神戸地区）,2023/10/4,事後審査型制限付一般競争入札,3,69500000,74647000,68999800,川重商事（株）,鋼構造物,0.924
鵯越墓園さつき地区便所改築他工事,2023/8/2,事後審査型制限付一般競争入札,12,32000000,34300000,31685400,（有）田中良工務店,建築一般,0.924
夢野住宅５－８号棟給水管改修工事,2023/7/5,事後審査型制限付一般競争入札,5,36473000,39470000,36462500,（株）石井管工,管一般,0.924
須磨北中学校給水設備他改修工事,2023/6/2,事後審査型制限付一般競争入札,7,20270000,21870000,20210100,（有）エス・ケー工業,管一般,0.924
玉津処理場消化槽エレベーター改修工事,2024/12/4,事後審査型制限付一般競争入札,2,28750000,31120000,28730600,日本オーチス・エレベータ（株）,昇降機,0.923
長田区文化センター別館教室系統空調設備更新工事,2024/11/8,事後審査型制限付一般競争入札,10,29380000,31790000,29339700,（有）メイテック,管一般,0.923
危機管理センター５階機械室改修工事,2024/9/6,事後審査型制限付一般競争入札,2,72000000,73260000,67649900,近畿総合設備（株）,管一般,0.923
神戸空港第３駐車場電気設備工事,2024/9/6,事後審査型制限付一般競争入札,16,57230000,61920000,57180000,（株）甲友電気設備,電気一般,0.923
藤原ポンプ場藤原低区送水ポンプ設備更新工事,2024/8/9,事後審査型制限付一般競争入札,4,105890000,114529000,105686700,（株）荏原製作所,機械器具その他,0.923
小部中学校給水設備改修工事,2024/2/7,事後審査型制限付一般競争入札,3,24983000,26890000,24814600,近畿総合設備（株）,管一般,0.923
ポートアイランド５号上屋とりこわし工事,2024/2/7,事後審査型制限付一般競争入札,40,50189000,54350000,50147500,ＳＡＳＡＫＵＲＡ（株）,解体,0.923
神戸こども初期急病センター屋上防水改修他工事,2023/6/9,事後審査型制限付一般競争入札,36,17237000,18670000,17234600,（株）エイゼット,防水,0.923
東クリーンセンター１号ボイラ下ホッパー部耐火物改修工事,2023/4/26,事後審査型制限付一般競争入札,2,17770000,19207000,17729700,山村築炉工業（株）,その他,0.923
田中児童館・田中保育所外壁他改修工事,2024/12/6,事後審査型制限付一般競争入札,12,98000000,106000000,97736800,（有）紙川防水興業,建築一般,0.922
神の谷小学校昇降機棟増築他工事,2024/7/10,事後審査型制限付一般競争入札,9,120570000,130300000,120182400,（株）池内工務店,建築一般,0.922
歌敷山中学校配膳室移転改修他工事,2024/7/5,事後審査型制限付一般競争入札,13,42290000,45080000,41570200,（有）田中良工務店,建築一般,0.922
西灘小学校給水設備改修工事,2024/1/26,事後審査型制限付一般競争入札,3,21750000,22730000,20963000,（株）池田総合設備,管一般,0.922
鵯越墓園休憩施設改修工事,2023/10/6,事後審査型制限付一般競争入札,27,33258000,36080000,33257700,（有）みのり建設,建築一般,0.922
神出自然教育園便所改修他工事,2023/9/8,事後審査型制限付一般競争入札,8,63700000,66420000,61229400,（株）池内工務店,建築一般,0.922
上ヶ原浄水場ポンプ室棟屋上防水改修他工事,2023/9/1,事後審査型制限付一般競争入札,21,6011440,6520000,6010600,（株）ハヤト創美,防水,0.922
御崎西第二住宅給水管改修工事,2023/7/5,事後審査型制限付一般競争入札,5,24026000,26030000,24008100,（株）オーラテクノ,管一般,0.922
住吉浄水場ポンプ室棟外壁改修他工事,2023/6/9,事後審査型制限付一般競争入札,26,8310000,9000000,8300600,（株）ＨＯＮＳＨＯ,建築一般,0.922
諏訪山公園レストハウスエレベータ更新工事,2025/2/7,事後審査型制限付一般競争入札,1,22910000,24850000,22877500,日本オーチス・エレベータ（株）,昇降機,0.921
京橋防波堤整備工事,2024/12/6,制限付一般競争入札,3,1377000000,1377352000,1268096300,東亜・みらい・日本海工特定建設工事共同企業体,港湾土木,0.921
西神・山手線　西神中央駅リニューアル電気設備他改修工事,2024/12/4,事後審査型制限付一般競争入札,8,70600000,75210000,69265800,（株）甲友電気設備,電気一般,0.921
上ヶ原浄水場緩速ろ過池低圧化工事,2024/9/6,事後審査型制限付一般競争入札,2,25000000,26026000,23981200,（株）大同電機製作所,電気専門,0.921
中央図書館照明改修工事,2024/5/17,事後審査型制限付一般競争入札,30,59400000,61960000,57094200,柴崎電機工業（株）,電気一般,0.921
更生センター外壁改修他機械設備工事,2024/3/6,事後審査型制限付一般競争入札,4,20248900,21930000,20206400,（株）Ｒ・Ｐｌａｎｎｉｎｇ,管一般,0.921
駅トイレ設備改修工事　その１,2023/11/1,事後審査型制限付一般競争入札,6,11589000,12550000,11553400,大中工業（株）,管一般,0.921
ハーバーハイウェイ照明柱更新工事その１,2023/10/13,事後審査型制限付一般競争入札,20,23919000,25960000,23911500,（株）前角電気,電気一般,0.921
須磨消防署北須磨出張所個室化設備工事,2023/7/7,事後審査型制限付一般競争入札,7,23710000,25710000,23691600,（株）福本工業,管一般,0.921
垂水処理場管理本館空調換気電気設備改修工事,2023/6/7,事後審査型制限付一般競争入札,35,25340000,27470000,25290400,近畿総合設備（株）,電気一般,0.921
男女共同参画センター便所等改修工事,2023/5/12,事後審査型制限付一般競争入札,11,95376600,95940000,88354600,（株）神盟,建築一般,0.921
北神線電話交換設備統廃合工事,2025/3/5,事後審査型制限付一般競争入札,1,119000000,119500000,109977300,協和テクノロジィズ（株）,電気専門,0.92
名谷車庫照明ＬＥＤ化工事,2025/2/5,事後審査型制限付一般競争入札,5,46600000,50590000,46529300,日本電設工業（株）,電気専門,0.92
福谷中層配水場入水弁制御盤他更新工事,2024/10/2,事後審査型制限付一般競争入札,3,30049000,32405000,29811700,（株）木内計測,電気専門,0.92
布施畑排水管理施設電気設備改修工事,2024/8/7,事後審査型制限付一般競争入札,31,36638000,39820000,36636800,（株）シモデン,電気専門,0.92
東須磨児童館・地域福祉センター屋根・外壁他改修工事,2024/2/2,事後審査型制限付一般競争入札,28,34555700,37540000,34525400,（株）堂脇工業所,建築一般,0.92
西部処理場　管理棟給湯ボイラ取替工事,2023/10/6,事後審査型制限付一般競争入札,8,10360000,11240000,10338300,（株）ＡＳＴＣＩＡ,管一般,0.92
ユニバー記念競技場２階コンコーススロープ改修工事,2023/9/8,事後審査型制限付一般競争入札,11,20114000,21850000,20095700,（有）ＫＩＺＵＮＡ,建築一般,0.92
須磨事業所ボイラー設備改修工事,2023/8/4,事後審査型制限付一般競争入札,5,10216500,11070000,10180300,（株）Ｒ・Ｐｌａｎｎｉｎｇ,管一般,0.92
垂水消防署高丸出張所個室化設備工事,2023/8/2,事後審査型制限付一般競争入札,6,21389000,23220000,21374000,（株）Ｒ・Ｐｌａｎｎｉｎｇ,管一般,0.92
板宿ずい道配水池入水流量制御盤他更新工事,2023/5/10,事後審査型制限付一般競争入札,4,34855200,37600000,34599300,新電機工業（株）,電気専門,0.92
西神・山手線・北神線変周式ＡＴＯ地上子撤去工事,2025/3/5,事後審査型制限付一般競争入札,3,33783000,35980000,33075400,（株）大神電設,電気専門,0.919
住吉小学校給水設備改修工事,2025/2/5,事後審査型制限付一般競争入札,3,21500000,21570000,19812200,（株）阪神ワークス機工,管一般,0.919
メリケンパークステージ音響設備工事,2025/1/22,事後審査型制限付一般競争入札,13,10875800,11570000,10629100,太昭電設（株）,電気専門,0.919
（仮称）五色塚古墳ガイダンス施設整備機械設備工事,2024/12/4,事後審査型制限付一般競争入札,3,18578000,20190000,18563400,（有）エス・ケー工業,管一般,0.919
三宮変電所他３か所蓄電池更新工事,2024/10/4,事後審査型制限付一般競争入札,28,27370000,29750000,27347500,（株）ショーシン,電気専門,0.919
小河保育所外壁改修他工事,2024/8/2,事後審査型制限付一般競争入札,12,65200000,67520000,62080800,（株）丸強建設工業,建築一般,0.919
住吉公園保育所外壁改修他工事,2024/6/12,事後審査型制限付一般競争入札,17,91085000,98430000,90496300,明石土建（株）,建築一般,0.919
山田小学校昇降機設備工事,2024/4/17,事後審査型制限付一般競争入札,2,16870000,16870000,15495400,三精テクノロジーズ（株）,昇降機,0.919
つつじが丘小学校エレベーター設置工事,2024/4/17,事後審査型制限付一般競争入札,2,17920000,17920000,16468200,フジテック（株）,昇降機,0.919
神の谷小学校昇降機設備設置工事,2024/4/17,事後審査型制限付一般競争入札,2,17920000,17920000,16468200,フジテック（株）,昇降機,0.919
岡場駅前広場再整備工事その１,2023/9/6,事後審査型制限付一般競争入札 合併入札,5,304500000,327652000,301224100,八雲建設（株）,土木一般,0.919
岡場駅前再整備に伴う汚水管移設工事,2023/9/6,事後審査型制限付一般競争入札 合併入札,5,304500000,327652000,301224100,八雲建設（株）,土木一般,0.919
神戸市立博物館給水設備改修工事,2023/7/12,事後審査型制限付一般競争入札,10,12450000,13530000,12434100,（株）スズキ商会,管一般,0.919
東小部ポンプ場中里送水ポンプ設備更新工事,2025/3/5,事後審査型制限付一般競争入札,4,54000000,56551000,51890200,日新工業（株）,機械器具その他,0.918
花谷小学校給水設備改修工事,2025/2/7,事後審査型制限付一般競争入札,3,21850000,22000000,20195300,（株）池田総合設備,管一般,0.918
（仮称）新雲中地域活動拠点・旗塚児童館新築電気設備工事,2025/1/29,事後審査型制限付一般競争入札,14,58418300,63480000,58300100,近畿総合設備（株）,電気一般,0.918
（仮称）五色塚古墳ガイダンス施設整備昇降機設備工事,2024/12/6,事後審査型制限付一般競争入札,3,16740000,16740000,15373000,フジテック（株）,昇降機,0.918
湊川児童館外壁改修他工事,2024/11/8,事後審査型制限付一般競争入札,31,28040000,30490000,27995600,（有）イースペース,建築一般,0.918
垂水処理場　放流ポンプ棟換気設備改修工事,2024/11/1,事後審査型制限付一般競争入札,6,8394000,9119000,8374700,（有）エス・ケー工業,管一般,0.918
西神中央駅前バスターミナル上屋建替工事,2024/10/4,事後審査型制限付一般競争入札,1,374800000,374945000,344330100,港建設（株）,土木一般,0.918
ポートアイランド３号上屋シャッター改修工事,2024/10/2,事後審査型制限付一般競争入札,30,39150000,42580000,39105900,（株）神栄工業,建築専門,0.918
中央区葺合町字山郡地区法面対策工事,2024/9/4,事後審査型制限付一般競争入札,19,353300000,381940000,350469500,（株）植信,法面,0.918
神戸市道路公社東館　冷暖房設備改修工事,2024/8/21,事後審査型制限付一般競争入札,16,15336000,16680000,15314900,（有）マグマ冷熱工業,管一般,0.918
妙賀山クリーンセンター浄化槽改修工事,2024/6/14,事後審査型制限付一般競争入札,1,28641000,30970000,28441500,（有）エス・ケー工業,管専門,0.918
中央消防署・中央待機宿舎給水ポンプ改修工事,2024/1/31,事後審査型制限付一般競争入札,5,6930000,7540000,6925400,（有）エス・ケー工業,管一般,0.918
六甲アイランド１号上屋受変電設備更新工事,2023/10/4,事後審査型制限付一般競争入札,30,13924000,15160000,13921600,淡神電設（株）,電気一般,0.918
西神住宅団地パークアベニュー電気設備工事（その３）,2023/9/1,事後審査型制限付一般競争入札,33,15452000,16830000,15448800,（株）甲友電気設備,電気一般,0.918
櫨谷川改修工事（福谷工区）その５,2023/8/2,事後審査型制限付一般競争入札,5,184000000,195569000,179494100,関西建設工業（株）,土木一般,0.918
谷上車庫無停電電源装置設置工事,2023/8/2,事後審査型制限付一般競争入札,3,23000000,23820000,21876700,京三エレコス（株）,電気専門,0.918
中央図書館２号館４階空調設備更新工事,2023/7/12,事後審査型制限付一般競争入札,11,7422000,8080000,7418100,（株）エス・イーワークス,管一般,0.918
